license_plate;provider;acquisizione;brand;model;category;Car;Location;branch_office;active;bucket;Active;Date In; Canone imponibile ; Canone ivato ; Canone assicurazione ;Date Out
GV868GS;Davide Papa - Eco Liri;INVESTOR;Citroen;C3;Economy (group C);EDMR;Valle di Comino;6;Yes;Inattiva;No;2025-07-15; 1,00 € ; -   € ; 56,77 € ;dic-26
GW467EY;Davide Papa - Eco Liri;INVESTOR;Volkswagen;Golf Variant Sw;Station Wagon Automatic (group S1);IWAR;Cassino NLT;15;Yes;A Noleggio;Yes;2025-07-15; 1,00 € ; -   € ; 79,56 € ;dic-26
GW899FB;Davide Papa - Eco Liri;INVESTOR;Skoda;Karoq;Suv Automatic (group J1);FFAR;Napoli Capodichino;7;Yes;A Noleggio;Yes;2025-07-16; 1,00 € ; -   € ; 79,99 € ;dic-26
GW966FB;Davide Papa - Eco Liri;INVESTOR;Volkswagen;T-Cross;Large (group D);IFMR;Cassino;1;Yes;Disponibile;Yes;2025-07-16; 1,00 € ; -   € ; 69,89 € ;dic-26
GX398BV;Davide Papa - Eco Liri;INVESTOR;Volkswagen;T-Roc Cabrio;Cabriolet (group X1);XTAR;Roma Fiumicino;4;Yes;In Service;Yes;2025-07-15; 1,00 € ; -   € ; 80,74 € ;dic-26
GX399BV;Davide Papa - Eco Liri;INVESTOR;Volkswagen;T-Roc;Large Automatic (group D1);IDAR;Cassino;1;Yes;Inattiva;No;2025-07-17; 1,00 € ; -   € ; 82,72 € ;dic-26
GX404BV;Davide Papa - Eco Liri;INVESTOR;Skoda;Octavia Sw;Station Wagon Manual (group S);IWMR;Cassino NLT;15;Yes;A Noleggio;Yes;2025-07-16; 1,00 € ; -   € ; 73,12 € ;dic-26
GX647BX;Davide Papa - Eco Liri;INVESTOR;Lancia;New Y;Economy Automatic (group C1);EDAR;Cassino;1;Yes;A Noleggio;Yes;2025-07-08; 1,00 € ; -   € ; 72,71 € ;dic-26
GX648BX;Davide Papa - Eco Liri;INVESTOR;Lancia;New Y;Economy Automatic (group C1);EDAR;Cassino;1;Yes;A Noleggio;Yes;2025-07-04; 1,00 € ; -   € ; 72,46 € ;dic-26
GX944BW;Davide Papa - Eco Liri;INVESTOR;Opel;Astra;Large Automatic (group D1);CDAR;Napoli Capodichino;7;Yes;Inattiva;No;2025-07-19; 1,00 € ; -   € ; 81,44 € ;dic-26
GX945BW;Davide Papa - Eco Liri;INVESTOR;Opel;Astra;Large Automatic (group D1);CDAR;Valle di Comino;6;Yes;Disponibile;Yes;2025-07-19; 1,00 € ; -   € ; 81,44 € ;dic-26
GX946BW;Davide Papa - Eco Liri;INVESTOR;Opel;Grandland;Suv Automatic (group J1);FFAR;Roma Fiumicino;4;Yes;Disponibile;Yes;2025-07-10; 1,00 € ; -   € ; 82,61 € ;dic-26
GX947BW;Davide Papa - Eco Liri;INVESTOR;Opel;Grandland;Suv Automatic (group J1);FFAR;Cassino;1;Yes;Disponibile;Yes;2025-07-15; 1,00 € ; -   € ; 84,73 € ;dic-26
GY021TX;Davide Papa - Eco Liri;INVESTOR;Volkswagen;Caravelle;Van 9 Seats Automatic (group M1);OVAR;Roma Fiumicino;4;Yes;Disponibile;Yes;2025-07-28; 1,00 € ; -   € ; -   € ;dic-26
GY056TX;Davide Papa - Eco Liri;INVESTOR;Opel;Zafira Life 6;Van 6 Seats Automatic (group M4);UVAR;Cassino;1;Yes;Disponibile;Yes;2025-07-31; 1,00 € ; -   € ; 75,63 € ;dic-26
GY058TX;Davide Papa - Eco Liri;INVESTOR;Opel;Zafira Life;Van 8 Seats Automatic (group M2);IVAR;Napoli Capodichino;7;Yes;Disponibile;Yes;2025-08-06; 1,00 € ; -   € ; 75,63 € ;dic-26
GA779CX;WayCar;INVESTOR;Fiat;Panda;Small (group B);MDMR;Trapani Aeroporto;13;Yes;In Service;Yes;2025-09-15; 0 ; 0 ; 0 ;dic-26
GH625VL;WayCar;INVESTOR;Fiat;Panda;Small (group B);MDMR;Trapani Porto;10;Yes;Inattiva;No;2025-09-24; 0 ; 0 ; 0 ;dic-26
GM734XC;WayCar;INVESTOR;Lancia;Ypsilon;Small (group B);MDMR;Trapani Aeroporto;13;Yes;In Service;Yes;2026-01-27; 0 ; 0 ; 0 ;dic-26
GS099NB;WayCar;INVESTOR;Lancia;Ypsilon;Small (group B);MDMR;Trapani Aeroporto;13;Yes;In Service;Yes;2026-01-27; 0 ; 0 ; 0 ;dic-26
GX893TP;Enilive;INVESTOR;Toyota;Yaris;Economy Automatic (group C1);EDAR;Trapani Porto;10;Yes;Disponibile;Yes;2026-01-09; 0 ; 0 ; 0 ;dic-26
GX916TP;Enilive;INVESTOR;Toyota;Yaris;Economy Automatic (group C1);EDAR;Trapani Porto;10;Yes;Disponibile;Yes;2026-01-21; 0 ; 0 ; 0 ;dic-26
GX923TP;Enilive;INVESTOR;Toyota;Yaris;Economy Automatic (group C1);EDAR;Trapani Porto;10;Yes;Disponibile;Yes;2026-01-09; 0 ; 0 ; 0 ;dic-26
GX928TP;Enilive;INVESTOR;Toyota;Yaris;Economy Automatic (group C1);EDAR;Trapani Porto;10;Yes;Disponibile;Yes;2026-01-09; 0 ; 0 ; 0 ;dic-26
GY009FM;Enilive;INVESTOR;Toyota;Yaris;Economy Automatic (group C1);EDAR;Roma Termini;2;Yes;A Noleggio;Yes;2025-12-12; 0 ; 0 ; 0 ;dic-26
GY033FM;Enilive;INVESTOR;Toyota;Yaris;Economy Automatic (group C1);EDAR;Trapani Porto;10;Yes;A Noleggio;Yes;2026-01-09; 0 ; 0 ; 0 ;dic-26
GY055FM;Enilive;INVESTOR;Toyota;Yaris;Economy Automatic (group C1);EDAR;Brindisi;11;Yes;A Noleggio;Yes;2025-12-23; 0 ; 0 ; 0 ;dic-26
GY060FM;Enilive;INVESTOR;Toyota;Yaris;Economy Automatic (group C1);EDAR;Brindisi;11;Yes;A Noleggio;Yes;2025-12-23; 0 ; 0 ; 0 ;dic-26
GY085FM;Enilive;INVESTOR;Toyota;Yaris;Economy Automatic (group C1);EDAR;Cassino;1;Yes;A Noleggio;Yes;2025-12-16; 0 ; 0 ; 0 ;dic-26
GY088FM;Enilive;INVESTOR;Toyota;Yaris;Economy Automatic (group C1);EDAR;Trapani Porto;10;Yes;A Noleggio;Yes;2026-01-05; 0 ; 0 ; 0 ;dic-26
GY092FM;Enilive;INVESTOR;Toyota;Yaris;Economy Automatic (group C1);EDAR;Roma Fiumicino;4;Yes;A Noleggio;Yes;2025-12-23; 0 ; 0 ; 0 ;dic-26
GY164TX;Davide Papa - Eco Liri;INVESTOR;Volkswagen;Caravelle 7 seats;Van 7 Seats Automatic (group M3);PVAR;Roma Fiumicino;4;Yes;Disponibile;Yes;2025-08-26; 0 ; 0 ; 0 ;dic-26
GY794FJ;Enilive;INVESTOR;Toyota;Yaris;Economy Automatic (group C1);EDAR;Trapani Porto;10;Yes;Disponibile;Yes;2026-01-21; 0 ; 0 ; 0 ;dic-26
GY887FJ;Enilive;INVESTOR;Toyota;Yaris;Economy Automatic (group C1);EDAR;Trapani Porto;10;Yes;A Noleggio;Yes;2026-01-09; 0 ; 0 ; 0 ;dic-26
GY998FJ;Enilive;INVESTOR;Toyota;Yaris;Economy Automatic (group C1);EDAR;Trapani Porto;10;Yes;Disponibile;Yes;2026-01-21; 0 ; 0 ; 0 ;dic-26
GY999FJ;Enilive;INVESTOR;Toyota;Yaris;Economy Automatic (group C1);EDAR;Trapani Porto;10;Yes;A Noleggio;Yes;2026-01-09; 0 ; 0 ; 0 ;dic-26
GZ029MH;Enilive;INVESTOR;Fiat;Doblo;Furgone Mini (gruppo K);MKMR;Cassino;1;Yes;A Noleggio;Yes;2025-12-04; 0 ; 0 ; 0 ;dic-26
GZ372WH;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Roma Termini;2;Yes;A Noleggio;Yes;2025-12-03; 0 ; 0 ; 0 ;dic-26
GZ998MG;Enilive;INVESTOR;Fiat;Doblo;Furgone Mini (gruppo K);MKMR;Cassino;1;Yes;Disponibile;Yes;2025-12-09; 0 ; 0 ; 0 ;dic-26
HA142JJ;Enilive;INVESTOR;Renault;Clio;Economy Automatic (group C1);EDAH;Roma Fiumicino;4;Yes;A Noleggio;Yes;2025-12-05; 0 ; 0 ; 0 ;dic-26
HA241JJ;Enilive;INVESTOR;Renault;Clio;Economy Automatic (group C1);EDAH;Cassino;1;Yes;A Noleggio;Yes;2025-12-02; 0 ; 0 ; 0 ;dic-26
HA248JJ;Enilive;INVESTOR;Renault;Clio;Economy Automatic (group C1);EDAH;Cassino;1;Yes;A Noleggio;Yes;2025-12-02; 0 ; 0 ; 0 ;dic-26
HA269JJ;Enilive;INVESTOR;Renault;Clio;Economy Automatic (group C1);EDAH;Napoli Stazione;8;Yes;A Noleggio;Yes;2025-12-05; 0 ; 0 ; 0 ;dic-26
HA302JJ;Enilive;INVESTOR;Renault;Clio;Economy Automatic (group C1);EDAH;Cassino;1;Yes;A Noleggio;Yes;2025-12-02; 0 ; 0 ; 0 ;dic-26
HA376JJ;Enilive;INVESTOR;Renault;Clio;Economy Automatic (group C1);EDAH;Cassino;1;Yes;In Service;Yes;2025-12-05; 0 ; 0 ; 0 ;dic-26
HA434FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Cassino;1;Yes;Disponibile;Yes;2026-01-13; 0 ; 0 ; 0 ;dic-26
HA435FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Roma Fiumicino;4;Yes;Disponibile;Yes;2025-12-24; 0 ; 0 ; 0 ;dic-26
HA437FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Cassino NLT;15;Yes;A Noleggio;Yes;2025-12-22; 0 ; 0 ; 0 ;dic-26
HA438FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Roma Fiumicino;4;Yes;A Noleggio;Yes;2025-12-25; 0 ; 0 ; 0 ;dic-26
HA445FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Roma Fiumicino;4;Yes;A Noleggio;Yes;2025-12-22; 0 ; 0 ; 0 ;dic-26
HA446FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Roma Fiumicino;4;Yes;Disponibile;Yes;2025-12-22; 0 ; 0 ; 0 ;dic-26
HA448FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Cassino NLT;15;Yes;A Noleggio;Yes;2025-12-23; 0 ; 0 ; 0 ;dic-26
HA449FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Napoli Capodichino;7;Yes;A Noleggio;Yes;2025-12-23; 0 ; 0 ; 0 ;dic-26
HA450FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Cassino;1;Yes;Disponibile;Yes;2026-01-13; 0 ; 0 ; 0 ;dic-26
HA452FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Roma Fiumicino;4;Yes;Disponibile;Yes;2026-01-21; 0 ; 0 ; 0 ;dic-26
HA455FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Cassino NLT;15;Yes;A Noleggio;Yes;2025-12-23; 0 ; 0 ; 0 ;dic-26
HA456FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Napoli Capodichino;7;Yes;A Noleggio;Yes;2025-12-23; 0 ; 0 ; 0 ;dic-26
HA457FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Napoli Capodichino;7;Yes;A Noleggio;Yes;2025-12-23; 0 ; 0 ; 0 ;dic-26
HA459FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Roma Fiumicino;4;Yes;Disponibile;Yes;2025-12-22; 0 ; 0 ; 0 ;dic-26
HA463FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Roma Fiumicino;4;Yes;A Noleggio;Yes;2025-12-22; 0 ; 0 ; 0 ;dic-26
HA465FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Roma Fiumicino;4;Yes;Disponibile;Yes;2025-12-22; 0 ; 0 ; 0 ;dic-26
HA472FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Roma Fiumicino;4;Yes;Disponibile;Yes;2025-12-26; 0 ; 0 ; 0 ;dic-26
HA473FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Roma Fiumicino;4;Yes;Disponibile;Yes;2025-12-22; 0 ; 0 ; 0 ;dic-26
HA476FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Roma Fiumicino;4;Yes;Disponibile;Yes;2025-12-22; 0 ; 0 ; 0 ;dic-26
HA477FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Cassino;1;Yes;Disponibile;Yes;2025-12-23; 0 ; 0 ; 0 ;dic-26
HA480FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Roma Fiumicino;4;Yes;Disponibile;Yes;2025-12-22; 0 ; 0 ; 0 ;dic-26
HA483FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Roma Fiumicino;4;Yes;Disponibile;Yes;2025-12-22; 0 ; 0 ; 0 ;dic-26
HA485FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Roma Termini;2;Yes;A Noleggio;Yes;2025-12-22; 0 ; 0 ; 0 ;dic-26
HA486FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Roma Fiumicino;4;Yes;A Noleggio;Yes;2025-12-22; 0 ; 0 ; 0 ;dic-26
HA487FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Cassino NLT;15;Yes;A Noleggio;Yes;2025-12-23; 0 ; 0 ; 0 ;dic-26
HA491FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Roma Fiumicino;4;Yes;A Noleggio;Yes;2025-12-22; 0 ; 0 ; 0 ;dic-26
HA492FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Napoli Capodichino;7;Yes;Disponibile;Yes;2025-12-23; 0 ; 0 ; 0 ;dic-26
HA493FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Napoli Capodichino;7;Yes;A Noleggio;Yes;2025-12-23; 0 ; 0 ; 0 ;dic-26
HA495FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Napoli Capodichino;7;Yes;A Noleggio;Yes;2025-12-23; 0 ; 0 ; 0 ;dic-26
HA496FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Cassino NLT;15;Yes;A Noleggio;Yes;2025-12-22; 0 ; 0 ; 0 ;dic-26
HA497FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Cassino;1;Yes;A Noleggio;Yes;2026-01-13; 0 ; 0 ; 0 ;dic-26
HA499FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Roma Fiumicino;4;Yes;Disponibile;Yes;2025-12-22; 0 ; 0 ; 0 ;dic-26
HA500FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Cassino;1;Yes;A Noleggio;Yes;2025-12-22; 0 ; 0 ; 0 ;dic-26
HA506FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Napoli Capodichino;7;Yes;Disponibile;Yes;2025-12-23; 0 ; 0 ; 0 ;dic-26
HA507FS;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Napoli Capodichino;7;Yes;A Noleggio;Yes;2025-12-23; 0 ; 0 ; 0 ;dic-26
HA508FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Napoli Capodichino;7;Yes;A Noleggio;Yes;2025-12-23; 0 ; 0 ; 0 ;dic-26
HA512FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Cassino NLT;15;Yes;A Noleggio;Yes;2025-12-22; 0 ; 0 ; 0 ;dic-26
HA514FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Napoli Stazione;8;Yes;A Noleggio;Yes;2025-12-24; 0 ; 0 ; 0 ;dic-26
HA517FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Cassino;1;Yes;A Noleggio;Yes;2025-12-24; 0 ; 0 ; 0 ;dic-26
HA521FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Napoli Capodichino;7;Yes;A Noleggio;Yes;2025-12-23; 0 ; 0 ; 0 ;dic-26
HA524FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Cassino NLT;15;Yes;A Noleggio;Yes;2026-01-13; 0 ; 0 ; 0 ;dic-26
HA525FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Roma Fiumicino;4;Yes;Disponibile;Yes;2025-12-23; 0 ; 0 ; 0 ;dic-26
HA526FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Cassino;1;Yes;Disponibile;Yes;2026-01-13; 0 ; 0 ; 0 ;dic-26
HA529FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Roma Termini;2;Yes;Disponibile;Yes;2025-12-24; 0 ; 0 ; 0 ;dic-26
HA530FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Cassino;1;Yes;A Noleggio;Yes;2026-01-13; 0 ; 0 ; 0 ;dic-26
HA533FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Roma Fiumicino;4;Yes;Disponibile;Yes;2025-12-23; 0 ; 0 ; 0 ;dic-26
HA539FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Roma Fiumicino;4;Yes;Disponibile;Yes;2026-01-19; 0 ; 0 ; 0 ;dic-26
HA544FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Roma Termini;2;Yes;Disponibile;Yes;2025-12-24; 0 ; 0 ; 0 ;dic-26
HA546FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Roma Fiumicino;4;Yes;Disponibile;Yes;2025-12-23; 0 ; 0 ; 0 ;dic-26
HA548FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Roma Fiumicino;4;Yes;A Noleggio;Yes;2026-01-21; 0 ; 0 ; 0 ;dic-26
HA550FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Cassino;1;Yes;Disponibile;Yes;2025-12-23; 0 ; 0 ; 0 ;dic-26
HA551FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Cassino;1;Yes;A Noleggio;Yes;2025-12-23; 0 ; 0 ; 0 ;dic-26
HA553FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Cassino NLT;15;Yes;A Noleggio;Yes;2025-12-23; 0 ; 0 ; 0 ;dic-26
HA554FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Cassino NLT;15;Yes;A Noleggio;Yes;2025-12-23; 0 ; 0 ; 0 ;dic-26
HA555FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Napoli Capodichino;7;Yes;A Noleggio;Yes;2025-12-23; 0 ; 0 ; 0 ;dic-26
HA556FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Roma Fiumicino;4;Yes;A Noleggio;Yes;2025-12-22; 0 ; 0 ; 0 ;dic-26
HA558FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Cassino NLT;15;Yes;A Noleggio;Yes;2025-12-24; 0 ; 0 ; 0 ;dic-26
HA563FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Roma Fiumicino;4;Yes;Disponibile;Yes;2025-12-23; 0 ; 0 ; 0 ;dic-26
HA564FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Cassino;1;Yes;Disponibile;Yes;2025-12-23; 0 ; 0 ; 0 ;dic-26
HA565FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Roma Fiumicino;4;Yes;A Noleggio;Yes;2025-12-23; 0 ; 0 ; 0 ;dic-26
HA566FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Brindisi;11;Yes;A Noleggio;Yes;2026-01-13; 0 ; 0 ; 0 ;dic-26
HA570FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Cassino NLT;15;Yes;A Noleggio;Yes;2025-12-23; 0 ; 0 ; 0 ;dic-26
HA577FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Cassino NLT;15;Yes;A Noleggio;Yes;2025-12-23; 0 ; 0 ; 0 ;dic-26
HA578FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Cassino;1;Yes;A Noleggio;Yes;2026-01-13; 0 ; 0 ; 0 ;dic-26
HA579FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Roma Fiumicino;4;Yes;Disponibile;Yes;2025-12-23; 0 ; 0 ; 0 ;dic-26
HA581FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Cassino;1;Yes;A Noleggio;Yes;2025-12-22; 0 ; 0 ; 0 ;dic-26
HA584FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Valle di Comino;6;Yes;A Noleggio;Yes;2025-12-22; 0 ; 0 ; 0 ;dic-26
HA586FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Cassino;1;Yes;A Noleggio;Yes;2025-12-24; 0 ; 0 ; 0 ;dic-26
HA587FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Cassino;1;Yes;A Noleggio;Yes;2025-12-23; 0 ; 0 ; 0 ;dic-26
HA588FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Cassino NLT;15;Yes;A Noleggio;Yes;2025-12-23; 0 ; 0 ; 0 ;dic-26
HA589FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Cassino;1;Yes;A Noleggio;Yes;2025-12-22; 0 ; 0 ; 0 ;dic-26
HA591FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Roma Fiumicino;4;Yes;Disponibile;Yes;2025-12-22; 0 ; 0 ; 0 ;dic-26
HA597FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Cassino;1;Yes;A Noleggio;Yes;2025-12-23; 0 ; 0 ; 0 ;dic-26
HA598FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Cassino;1;Yes;A Noleggio;Yes;2026-01-13; 0 ; 0 ; 0 ;dic-26
HA599FT;Enilive;INVESTOR;Fiat;Panda;Small (group B);MDMR;Roma Fiumicino;4;Yes;Disponibile;Yes;2025-12-23; 0 ; 0 ; 0 ;dic-26
HA694VY;Enilive;INVESTOR;Renault;Clio;Economy Automatic (group C1);EDAH;Roma Fiumicino;4;No;Inattiva;No;2025-12-20; 0 ; 0 ; 0 ;dic-25
HA695VY;Enilive;INVESTOR;Renault;Clio;Economy Automatic (group C1);EDAH;Roma Termini;2;Yes;A Noleggio;Yes;2025-12-05; 0 ; 0 ; 0 ;dic-26
HA696VY;Enilive;INVESTOR;Renault;Clio;Economy Automatic (group C1);EDAH;Roma Fiumicino;4;Yes;A Noleggio;Yes;2025-12-05; 0 ; 0 ; 0 ;dic-26
HA714VY;Enilive;INVESTOR;Renault;Clio;Economy Automatic (group C1);EDAH;Firenze;5;Yes;Disponibile;Yes;2025-12-10; 0 ; 0 ; 0 ;dic-26
HA718VY;Enilive;INVESTOR;Renault;Clio;Economy Automatic (group C1);EDAH;Cassino;1;No;Inattiva;No;2025-12-30; 0 ; 0 ; 0 ;dic-25
HA719VY;Enilive;INVESTOR;Renault;Clio;Economy Automatic (group C1);EDAH;Cassino;1;No;Inattiva;No;2025-12-30; 0 ; 0 ; 0 ;dic-25
HA721VY;Enilive;INVESTOR;Renault;Clio;Economy Automatic (group C1);EDAH;Cassino;1;No;Inattiva;No;2025-12-29; 0 ; 0 ; 0 ;dic-25
HA723VY;Enilive;INVESTOR;Renault;Clio;Economy Automatic (group C1);EDAH;Cassino NLT;15;Yes;A Noleggio;Yes;2025-12-22; 0 ; 0 ; 0 ;dic-26
HA726VY;Enilive;INVESTOR;Renault;Clio;Economy Automatic (group C1);EDAH;Cassino;1;Yes;Disponibile;Yes;2025-12-10; 0 ; 0 ; 0 ;dic-26
HA731VY;Enilive;INVESTOR;Renault;Clio;Economy Automatic (group C1);EDAH;Cassino;1;No;Inattiva;No;2025-12-30; 0 ; 0 ; 0 ;dic-25
HA732VY;Enilive;INVESTOR;Renault;Clio;Economy Automatic (group C1);EDAH;Brindisi;11;Yes;Inattiva;No;2025-12-05; 0 ; 0 ; 0 ;dic-26
HA735VY;Enilive;INVESTOR;Renault;Clio;Economy Automatic (group C1);EDAH;Cassino;1;Yes;Disponibile;Yes;2025-12-22; 0 ; 0 ; 0 ;dic-26
HA738VY;Enilive;INVESTOR;Renault;Clio;Economy Automatic (group C1);EDAH;Cassino;1;No;Inattiva;No;2025-12-30; 0 ; 0 ; 0 ;dic-25
HA740VY;Enilive;INVESTOR;Renault;Clio;Economy Automatic (group C1);EDAH;Firenze;5;Yes;A Noleggio;Yes;2025-12-10; 0 ; 0 ; 0 ;dic-26
HA742VY;Enilive;INVESTOR;Renault;Clio;Economy Automatic (group C1);EDAH;Firenze;5;Yes;Disponibile;Yes;2025-12-10; 0 ; 0 ; 0 ;dic-26
HA743VY;Enilive;INVESTOR;Renault;Clio;Economy Automatic (group C1);EDAH;Firenze;5;Yes;A Noleggio;Yes;2025-12-10; 0 ; 0 ; 0 ;dic-26
HA745VY;Enilive;INVESTOR;Renault;Clio;Economy Automatic (group C1);EDAH;Firenze;5;Yes;Disponibile;Yes;2025-12-10; 0 ; 0 ; 0 ;dic-26
HA749VY;Enilive;INVESTOR;Renault;Clio;Economy Automatic (group C1);EDAH;Napoli Capodichino;7;No;Inattiva;No;2025-12-20; 0 ; 0 ; 0 ;dic-25
HA750VY;Enilive;INVESTOR;Renault;Clio;Economy Automatic (group C1);EDAH;Roma Fiumicino;4;Yes;A Noleggio;Yes;2025-12-22; 0 ; 0 ; 0 ;dic-26
HA751VY;Enilive;INVESTOR;Renault;Clio;Economy Automatic (group C1);EDAH;Cassino;1;Yes;In Service;Yes;2025-12-22; 0 ; 0 ; 0 ;dic-26
HA753VY;Enilive;INVESTOR;Renault;Clio;Economy Automatic (group C1);EDAH;Cassino;1;No;Inattiva;No;2025-12-30; 0 ; 0 ; 0 ;dic-25
HA755VY;Enilive;INVESTOR;Renault;Clio;Economy Automatic (group C1);EDAH;Brindisi;11;Yes;A Noleggio;Yes;2025-12-05; 0 ; 0 ; 0 ;dic-26
HA759VY;Enilive;INVESTOR;Renault;Clio;Economy Automatic (group C1);EDAH;Cassino;1;Yes;Disponibile;Yes;2025-12-05; 0 ; 0 ; 0 ;dic-26
HA760VY;Enilive;INVESTOR;Renault;Clio;Economy Automatic (group C1);EDAH;Brindisi;11;Yes;A Noleggio;Yes;2025-12-05; 0 ; 0 ; 0 ;dic-26
HA764VY;Enilive;INVESTOR;Renault;Clio;Economy Automatic (group C1);EDAH;Cassino;1;Yes;A Noleggio;Yes;2025-12-06; 0 ; 0 ; 0 ;dic-26
HA766VY;Enilive;INVESTOR;Renault;Clio;Economy Automatic (group C1);EDAH;Cassino;1;No;Inattiva;No;2025-12-30; 0 ; 0 ; 0 ;dic-25
HA771VY;Enilive;INVESTOR;Renault;Clio;Economy Automatic (group C1);EDAH;Roma Fiumicino;4;Yes;A Noleggio;Yes;2025-12-06; 0 ; 0 ; 0 ;dic-26
HA775VY;Enilive;INVESTOR;Renault;Clio;Economy Automatic (group C1);EDAH;Roma Fiumicino;4;Yes;A Noleggio;Yes;2025-12-22; 0 ; 0 ; 0 ;dic-26
