license_plate;provider;acquisizione;brand;model;category;Car;Location;branch_office;active;bucket;Active;Date In; Canone imponibile ; Canone ivato ; Canone assicurazione ;Date Out
GV034AK;Networkworldtravel;INVESTOR;Renault;Traffic;Van 9 Seats (group M);OVMR;Sorrento;9;No;Inattiva;No;2025-10-21; 0 ; 0 ; 0 ;dic-25
GW577EY;Vivarent;LEASING;Peugeot;2008 Aut;Large Automatic (group D1);SDAR;Brindisi;11;Yes;Disponibile;Yes;2025-06-18; 410,04 € ; 500,25 € ; 128,00 € ;ott-26
GW839EX;Vivarent;LEASING;Peugeot;2008;Large (group D);SDMR;Roma Fiumicino;4;Yes;A Noleggio;Yes;2025-05-28; 325,52 € ; 397,13 € ; 128,00 € ;ott-26
GX150CM;Vivarent;LEASING;Opel;Corsa;Economy (group C);EDMR;Napoli Stazione;8;Yes;A Noleggio;Yes;2025-06-12; 281,71 € ; 343,69 € ; 128,00 € ;ott-26
GX388CP;Vivarent;LEASING;Peugeot;308;Station Wagon Manual (group S);IWMR;Cassino;1;Yes;A Noleggio;Yes;2025-05-28; 410,04 € ; 500,25 € ; 128,00 € ;ott-26
GS031FE;Vivarent;LEASING;Volkswagen;T-Roc;Large Automatic (group D1);IDAR;Brindisi;11;Yes;In Service;Yes;2025-06-11; 512,54 € ; 625,30 € ; 128,00 € ;ott-26
GV065SS;Vivarent;LEASING;Volkswagen;T-Roc;Large (group D);IFMR;Cassino;1;Yes;A Noleggio;Yes;2025-04-16; 432,73 € ; 527,93 € ; 185,53 € ;ott-26
GV067SS;Vivarent;LEASING;Volkswagen;T-Roc;Large (group D);IFMR;Brindisi;11;Yes;A Noleggio;Yes;2025-04-16; 432,73 € ; 527,93 € ; 185,53 € ;ott-26
GV069SS;Vivarent;LEASING;Volkswagen;T-Roc;Large (group D);IFMR;Roma Fiumicino;4;Yes;A Noleggio;Yes;2025-04-18; 432,73 € ; 527,93 € ; 185,53 € ;ott-26
GV237AK;Vivarent;LEASING;Volkswagen;Taigo;Large Automatic (group D1);SDAR;Brindisi;11;Yes;Disponibile;Yes;2025-04-12; 409,25 € ; 499,29 € ; 181,13 € ;ott-26
GV238AK;Vivarent;LEASING;Volkswagen;Taigo;Large Automatic (group D1);SDAR;Napoli Capodichino;7;Yes;A Noleggio;Yes;2025-04-12; 409,25 € ; 499,29 € ; 181,13 € ;ott-26
GV239AK;Vivarent;LEASING;Volkswagen;Taigo;Large Automatic (group D1);SDAR;Cassino;1;Yes;In Service;Yes;2025-04-12; 409,25 € ; 499,29 € ; 181,13 € ;ott-26
GV240AK;Vivarent;LEASING;Volkswagen;Taigo;Large Automatic (group D1);SDAR;Roma Termini;2;Yes;A Noleggio;Yes;2025-04-12; 409,25 € ; 499,29 € ; 181,13 € ;ott-26
GV241AK;Vivarent;LEASING;Volkswagen;Taigo;Large Automatic (group D1);SDAR;Roma Fiumicino;4;Yes;Disponibile;Yes;2025-04-16; 409,25 € ; 499,29 € ; 181,13 € ;ott-26
GV248AK;Vivarent;LEASING;Volkswagen;Taigo;Large Automatic (group D1);SDAR;Napoli Capodichino;7;Yes;Disponibile;Yes;2025-04-12; 409,25 € ; 499,29 € ; 181,13 € ;ott-26
GV250AK;Vivarent;LEASING;Volkswagen;Taigo;Large Automatic (group D1);SDAR;Cassino;1;Yes;A Noleggio;Yes;2025-04-16; 409,25 € ; 499,29 € ; 181,13 € ;ott-26
GV251AK;Vivarent;LEASING;Volkswagen;Taigo;Large Automatic (group D1);SDAR;Cassino NLT;15;Yes;A Noleggio;Yes;2025-04-12; 409,25 € ; 499,29 € ; 181,13 € ;ott-26
GV303AK;Vivarent;LEASING;Volkswagen;Taigo;Large Automatic (group D1);SDAR;Roma Termini;2;Yes;A Noleggio;Yes;2025-04-12; 409,25 € ; 499,29 € ; 181,13 € ;ott-26
GV562TA;Vivarent;LEASING;Volkswagen;Taigo;Large Automatic (group D1);SDAR;Roma Fiumicino;4;Yes;Disponibile;Yes;2025-04-16; 409,25 € ; 499,29 € ; 181,13 € ;ott-26
GW150WA;Vivarent;RENT;Toyota;Proace;Van 8 Seats Automatic (group M2);IVAR;Firenze;5;Yes;A Noleggio;Yes;2024-10-28; 938,51 € ; 1.144,98 € ; -   € ;ott-26
GV782TA;Vivarent;LEASING;Volkswagen;T-Cross;Large (group D);IFMR;Brindisi;11;Yes;Disponibile;Yes;2025-06-20; 352,13 € ; 429,60 € ; 128,00 € ;ott-26
GZ471GT;Networkworldtravel;INVESTOR;Lancia;New Y;Economy Automatic (group C1);EDAR;Sorrento;9;No;Inattiva;No;2025-06-09; 1,00 € ; -   € ; -   € ;dic-25
H CY849TC;Networkworldtravel;INVESTOR;Renault;Megane Cabriolet;Cabriolet (group X);NBMR;Sorrento;9;No;Inattiva;No;2025-06-01; 0 ; 0 ; 0 ;dic-25
H FJ490NV;Networkworldtravel;INVESTOR;Peugeot;308 Cabriolet;Cabriolet (group X);NBMR;Sorrento;9;No;Inattiva;No;2025-05-01; 0 ; 0 ; 0 ;dic-25
GV784TA;Vivarent;LEASING;Volkswagen;T-Cross;Large (group D);IFMR;Cassino NLT;15;Yes;A Noleggio;Yes;2025-06-11; 352,13 € ; 429,60 € ; 128,00 € ;ott-26
GV787TA;Vivarent;LEASING;Volkswagen;T-Cross;Large (group D);IFMR;Roma Termini;2;Yes;Disponibile;Yes;2025-06-11; 352,13 € ; 429,60 € ; 128,00 € ;ott-26
GV788TA;Vivarent;LEASING;Volkswagen;T-Cross;Large (group D);IFMR;Roma Fiumicino;4;Yes;A Noleggio;Yes;2025-06-20; 352,13 € ; 429,60 € ; 128,00 € ;ott-26
GV791TA;Vivarent;LEASING;Volkswagen;T-Cross;Large (group D);IFMR;Napoli Stazione;8;Yes;A Noleggio;Yes;2025-06-11; 352,13 € ; 429,60 € ; 128,00 € ;ott-26
GX731CH;Vivarent;LEASING;Volkswagen;T-Cross;Large (group D);IFMR;Napoli Capodichino;7;Yes;In Service;Yes;2025-05-29; 352,13 € ; 429,60 € ; 128,00 € ;ott-26
GR326BE;Vivarent;LEASING;Renault;Traffic;Van 9 Seats (group M);OVMR;Cassino;1;Yes;Disponibile;Yes;2023-11-03; 386,40 € ; 471,41 € ; -   € ;ott-26
GR979BD;Vivarent;LEASING;Renault;Traffic;Van 9 Seats (group M);OVMR;Cassino;1;Yes;Disponibile;Yes;2023-11-03; 456,57 € ; 557,02 € ; -   € ;ott-26
